review_id,product_id,customer_id,review_dates,ratings,review_texts
1,1,1,2024-01-16,1,"Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
2,2,2,2023-09-08,4,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
3,3,3,2024-07-08,1,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc."
4,4,4,2023-12-10,2,Nulla justo.
5,5,5,2023-10-02,5,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
6,6,6,2024-08-12,3,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
7,7,7,2024-03-12,2,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
8,8,8,2024-05-19,3,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
9,9,9,2023-09-26,5,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
10,10,10,2024-05-28,3,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
11,11,11,2024-08-16,5,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
12,12,12,2024-04-03,3,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
13,13,13,2024-05-04,4,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.
14,14,14,2024-08-02,5,In sagittis dui vel nisl. Duis ac nibh.
15,15,15,2023-08-22,1,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
16,16,16,2024-01-17,2,Nulla ut erat id mauris vulputate elementum.
17,17,17,2024-02-24,4,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat."
18,18,18,2024-08-17,4,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
19,19,19,2024-02-10,1,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
20,20,20,2024-02-28,4,Duis bibendum.
21,21,21,2023-11-20,5,Suspendisse accumsan tortor quis turpis.
22,22,22,2023-11-05,4,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
23,23,23,2024-07-16,2,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
24,24,24,2024-03-28,1,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti."
25,25,25,2023-11-28,4,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.
26,26,26,2024-03-13,5,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus."
27,27,27,2024-02-24,5,Donec semper sapien a libero.
28,28,28,2024-06-14,5,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque."
29,29,29,2024-05-18,3,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
30,30,30,2023-11-21,5,Morbi a ipsum. Integer a nibh.
31,31,31,2023-11-29,2,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
32,32,32,2024-07-21,2,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
33,33,33,2024-03-24,4,Nulla mollis molestie lorem. Quisque ut erat.
34,34,34,2024-04-27,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.
35,35,35,2023-09-04,2,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.
36,36,36,2023-08-22,3,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
37,37,37,2024-01-16,4,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo."
38,38,38,2024-07-26,1,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
39,39,39,2023-10-19,3,Ut tellus.
40,40,40,2023-09-01,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue."
41,41,41,2024-07-09,5,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.
42,42,42,2024-04-09,3,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum."
43,43,43,2024-04-12,1,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.
44,44,44,2023-12-27,4,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.
45,45,45,2024-04-04,3,Proin risus.
46,46,46,2024-07-22,5,In eleifend quam a odio.
47,47,47,2023-08-25,2,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.
48,48,48,2024-07-04,4,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy."
49,49,49,2024-07-13,3,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
50,50,50,2023-08-30,2,Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.
51,51,51,2023-09-02,4,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy."
52,52,52,2024-02-14,4,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
53,53,53,2024-08-19,5,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis."
54,54,54,2024-08-03,3,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.
55,55,55,2024-06-04,2,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
56,56,56,2024-03-28,3,Integer tincidunt ante vel ipsum.
57,57,57,2023-08-30,5,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
58,58,58,2024-07-24,4,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
59,59,59,2023-10-24,5,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
60,60,60,2024-05-20,5,Etiam faucibus cursus urna. Ut tellus.
61,61,61,2023-09-27,5,In congue. Etiam justo. Etiam pretium iaculis justo.
62,62,62,2024-08-04,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
63,63,63,2024-04-02,3,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum."
64,64,64,2024-05-27,4,Donec dapibus.
65,65,65,2024-06-11,1,Vivamus tortor.
66,66,66,2024-05-10,1,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero."
67,67,67,2024-07-26,5,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.
68,68,68,2024-01-18,5,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.
69,69,69,2024-01-21,2,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
70,70,70,2023-12-23,5,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
71,71,71,2024-07-28,1,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.
72,72,72,2023-12-09,2,In hac habitasse platea dictumst.
73,73,73,2023-10-12,2,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.
74,74,74,2023-10-22,2,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
75,75,75,2024-08-15,4,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
76,76,76,2024-07-08,3,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
77,77,77,2024-07-29,3,Vestibulum rutrum rutrum neque.
78,78,78,2024-06-05,2,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
79,79,79,2023-11-06,3,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
80,80,80,2024-01-02,5,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
81,81,81,2024-07-04,4,Morbi a ipsum. Integer a nibh. In quis justo.
82,82,82,2023-12-11,3,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
83,83,83,2023-11-04,5,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.
84,84,84,2023-10-02,2,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
85,85,85,2023-10-10,1,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
86,86,86,2024-03-11,4,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus."
87,87,87,2023-12-11,2,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
88,88,88,2024-01-12,3,Integer a nibh. In quis justo.
89,89,89,2023-09-24,2,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat."
90,90,90,2024-04-04,1,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.
91,91,91,2023-11-06,1,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
92,92,92,2023-12-06,1,"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
93,93,93,2023-11-14,3,In quis justo. Maecenas rhoncus aliquam lacus.
94,94,94,2023-10-14,4,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
95,95,95,2024-01-01,5,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
96,96,96,2023-09-04,5,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.
97,97,97,2024-03-06,4,Pellentesque at nulla. Suspendisse potenti.
98,98,98,2023-10-22,5,Donec ut dolor.
99,99,99,2024-04-07,2,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
100,100,100,2024-06-14,3,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero."
101,101,101,2024-03-02,1,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.
102,102,102,2023-09-13,3,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.
103,103,103,2023-09-15,4,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
104,104,104,2023-10-13,4,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
105,105,105,2024-07-14,4,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
106,106,106,2024-05-02,5,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.
107,107,107,2024-02-07,5,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
108,108,108,2024-03-01,5,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
109,109,109,2024-04-07,1,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
110,110,110,2024-01-23,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
111,111,111,2023-09-13,3,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.
112,112,112,2024-06-28,3,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum."
113,113,113,2024-04-14,2,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
114,114,114,2024-04-27,3,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.
115,115,115,2024-07-17,3,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
116,116,116,2024-05-24,1,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.
117,117,117,2024-07-04,5,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
118,118,118,2024-01-28,5,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti."
119,119,119,2024-06-19,3,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.
120,120,120,2024-05-08,5,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
121,121,121,2024-08-18,1,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
122,122,122,2024-07-23,4,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
123,123,123,2024-08-05,5,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
124,124,124,2024-03-23,1,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.
125,125,125,2024-02-12,2,Duis at velit eu est congue elementum.
126,126,126,2023-11-03,2,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
127,127,127,2024-07-05,3,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
128,128,128,2023-12-14,1,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
129,129,129,2023-09-08,4,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum."
130,130,130,2023-10-18,5,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.
